Date,Racecourse,Time of Day,Surface,Race Type,Country
2025-01-01,Catterick (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-01,Cheltenham (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-01,Exeter (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-01,Fakenham (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-01,Musselburgh (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-01,Newcastle (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-01,Southwell (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-02,Ayr (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-02,Huntingdon (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-02,Newcastle () () (),,,,UK
2025-01-03,Lingfield (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-03,Musselburgh (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-03,Southwell () () (),,,,UK
2025-01-04,Newcastle (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-04,Sandown (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-04,Southwell (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-04,Wincanton (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-04,Wolverhampton () () (),,,,UK
2025-01-05,Chepstow (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-05,Plumpton (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-06,Ayr (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-06,Ludlow (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-06,Wolverhampton () () (),,,,UK
2025-01-07,Hereford (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-07,Leicester (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-07,Wolverhampton () () (),,,,UK
2025-01-08,Kempton () () (),,,,UK
2025-01-08,Newcastle (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-08,Taunton (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-09,Catterick (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-09,Chelmsford City () () (),,,,UK
2025-01-09,Lingfield (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-09,Newbury (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-10,Doncaster (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-10,Huntingdon (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-10,Lingfield (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-10,Newcastle () () (),,,,UK
2025-01-11,Kempton (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-11,Newcastle (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-11,Warwick (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-11,Wetherby (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-11,Wolverhampton () () (),,,,UK
2025-01-12,Kelso (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-12,Lingfield (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-13,Exeter (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-13,Lingfield (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-13,Wolverhampton () () (),,,,UK
2025-01-14,Newcastle () () (),,,,UK
2025-01-14,Plumpton (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-14,Southwell (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-15,Kempton () () (),,,,UK
2025-01-15,Newbury (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-15,Southwell (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-16,Chelmsford City () () (),,,,UK
2025-01-16,Ludlow (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-16,Newcastle (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-16,Wincanton (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-17,Market Rasen (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-17,Newcastle (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-17,Southwell () () (),,,,UK
2025-01-17,Windsor (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-18,Ascot (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-18,Haydock (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-18,Lingfield (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-18,Taunton (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-18,Wolverhampton () () (),,,,UK
2025-01-19,Fakenham (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-19,Windsor (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-20,Kempton (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-20,Warwick (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-20,Wolverhampton () () (),,,,UK
2025-01-21,Ayr (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-21,Leicester (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-21,Newcastle () () (),,,,UK
2025-01-22,Catterick (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-22,Kempton () () (),,,,UK
2025-01-22,Lingfield (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-23,Huntingdon (Afternoon) (Turf) (Jumps),Afternoon,Turf,Jumps,UK
2025-01-23,Newcastle (Afternoon) () (Flat),Afternoon,,Flat,UK
2025-01-23,Southwell () () (),,,,UK
